party,result,council,region
"Політична Партія ""Опозиційний блок""",11.54,Голопристанська міська рада,Херсонська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",25.0,Уманська міська рада,Черкаська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Уманська міська рада,Черкаська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Шепетівська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ГРОМАД""",5.88,Шепетівська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Славутська міська рада,Хмельницька обл.
Радикальна партія Олега Ляшка,8.82,Славутська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",5.88,Славутська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"" ",8.82,Нетішинська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Нетішинська міська рада,Хмельницька обл.
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ"" ",8.33,Кам'янець-Подільська міська рада,Хмельницька обл.
"Політична партія ""Рідне місто""",8.33,Кам'янець-Подільська міська рада,Хмельницька обл.
Радикальна партія Олега Ляшка,8.33,Кам'янець-Подільська міська рада,Хмельницька обл.
"Політична партія ""Совість України""",11.11,Новокаховська міська рада,Херсонська обл.
"Політична партія ""Наш край""",8.33,Новокаховська міська рада,Херсонська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Новокаховська міська рада,Херсонська обл.
"Партія ""Відродження""",5.88,Каховська міська рада,Херсонська обл.
"Політична партія ""Союз Лівих Сил""",5.88,Каховська міська рада,Херсонська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Каховська міська рада,Херсонська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Херсонська міська рада,Херсонська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",9.26,Херсонська міська рада,Херсонська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",7.41,Херсонська міська рада,Херсонська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",7.69,Голопристанська міська рада,Херсонська обл.
"Українська партія ""Єдність""",47.06,Южноукраїнська міська рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",25.0,Первомайська міська рада,Миколаївська обл.
"Політична Партія ""Опозиційний блок""",19.23,Очаківська міська рада,Миколаївська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Уманська міська рада,Черкаська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Уманська міська рада,Черкаська обл.
"Політична партія ""Наш край""",8.33,Уманська міська рада,Черкаська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.56,Уманська міська рада,Черкаська обл.
"Політична Партія ""Опозиційний блок""",20.59,Вознесенська міська рада,Миколаївська обл.
"Політична Партія ""Опозиційний блок""",48.15,Миколаївська міська рада,Миколаївська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",2.94,Славутська міська рада,Хмельницька обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",30.95,Тернопільська міська рада,Тернопільська обл.
"Партія ""Відродження""",5.56,Кам'янець-Подільська міська рада,Хмельницька обл.
